year,month,price
2010,1,975.0
2010,2,850.0
2010,3,1000.0
2010,4,825.0
2010,5,800.0
2010,6,737.5
2010,7,800.0
2010,8,658.18
2010,9,682.18
2010,10,738.46
2010,11,832.69
2010,12,850.0
2011,1,1150.0
2011,2,850.0
2011,3,1400.0
2011,4,1183.33
2011,5,1350.0
2011,6,1316.67
2011,7,2188.0
2011,8,1354.0
2011,9,1600.0
2011,10,1300.0
2011,11,1029.67
2011,12,1072.33
2012,1,1074.5
2012,2,1417.0
2012,3,1292.0
2012,4,1533.5
2012,5,1621.0
2012,6,1750.0
2012,7,1514.0
2012,8,1394.5
2012,9,950.0
2012,10,1344.0
2012,11,1261.33
2012,12,1375.0
2013,1,1900.0
2013,2,1550.0
2013,3,1433.35
2013,4,1268.1
2013,5,1375.0
2013,6,1433.35
2013,7,1285.0
2013,8,1211.38
2013,9,1225.0
2013,10,1196.0
2013,11,1600.0
2013,12,1475.0
2014,1,1300.0
2014,2,1233.5
2014,3,1623.0
2014,4,1710.0
2014,5,1333.33
2014,6,1400.0
2014,7,1190.0
2014,8,958.33
2014,9,1062.5
2014,10,1006.5
2014,11,1043.75
2014,12,966.67
2015,1,900.0
2015,2,1600.0
2015,3,1050.0
2015,4,1375.0
2015,5,1416.67
2015,6,1333.33
2015,7,900.0
2015,8,1183.33
2015,9,916.5
2015,10,1366.5
2015,11,1600.0
2015,12,1401.67
2016,1,1325.0
2016,2,1817.0
2016,3,1867.0
2016,4,1845.0
2016,5,1591.5
2016,6,1958.0
2016,7,1911.0
2016,8,1400.0
2016,9,1646.0
2016,10,1816.5
2016,11,1553.67
2016,12,1760.33
2017,1,2500.0
2017,2,2567.0
2017,3,2130.5
2017,4,1933.0
2017,5,2225.0
2017,6,2161.33
2017,7,1841.67
2017,8,1783.33
2017,9,1000.0
2017,10,900.0
2017,11,2217.0
2017,12,2092.0
2018,1,2200.0
2018,2,1800.0
2018,3,1750.0
2018,4,1400.0
2018,5,1700.0
2018,6,2000.0
2018,7,650.0
2018,10,1055.56
2018,11,1225.0
2019,1,1308.5
2019,2,1716.5
2019,3,1400.0
2019,4,1587.5
2019,5,1550.0
2019,6,2296.75
2019,7,1762.5
2019,8,2087.5
2019,9,2333.5
2019,11,2375.0
2019,12,2350.0
2020,1,2000.0
2020,2,1450.0
2020,4,1937.5
2020,5,2350.0
2020,6,1300.0
2020,7,2047.0
2020,8,1497.0
2020,9,2000.0
2020,10,1500.0
2020,11,1439.5
2020,12,1980.0
2021,1,1150.0
2021,4,1500.0
2021,5,1550.0
2021,6,1600.0
2021,7,2000.0
2021,8,950.0
2021,9,1598.5
2021,10,1929.0
2021,11,2040.0
2021,12,1960.0
2022,1,1387.5
2022,2,2000.0
2022,3,2100.0
2022,4,2150.0
2022,5,3000.0
2022,6,3340.0
2022,7,3825.0
2022,8,3175.0
2022,9,3800.0
2022,10,4000.0
2022,11,3920.0
2022,12,2900.0
2023,1,2787.5
2023,2,3275.0
2023,3,3080.0
2023,4,3062.5
2023,5,3187.5
2023,6,3500.0
2023,7,2687.5
2023,8,3250.0
2023,9,3125.0
2023,10,3167.0
2023,11,2500.0
2023,12,2437.5
2024,1,2225.0
2024,2,1937.5
2024,3,2375.0
2024,4,2062.5
2024,5,2000.0
2024,6,2000.0
2024,7,1700.0
2024,8,1872.0
2024,9,1912.5
2024,10,1837.5
2024,11,2000.0
2024,12,2000.0
2025,1,2000.0
2025,2,2500.0
2025,3,2282.5
2025,4,2615.0
